Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	48	0	0.00876609577	2.25440533	2.25440533	2.25440533	2.25440533	0	0	0	0	0	0	0	3
2	50	0	0.0175321915	0.719675527	1.48704043	0.719675527	2.25440533	0.7673649	0	0	0	0	0	0	3
3	51	0	0.0262982873	0.142649513	1.03891012	0.142649513	2.25440533	1.2154952	0	0	0	0	0	0	3
4	52	0	0.0350643831	0.07648817	0.798304634	0.07648817	2.25440533	1.45610069	0	0	0	0	0	0	3
5	54	0	0.0438304789	0.0763765707	0.653919021	0.0763765707	2.25440533	1.6004863	0	0	0	0	0	0	3
6	55	0	0.0525965746	0.0663908204	0.555997654	0.0663908204	2.25440533	1.69840767	0	0	0	0	0	0	3
7	56	0	0.0613626704	0.06157761	0.485366219	0.06157761	2.25440533	1.76903911	0	0	0	0	0	0	3
8	57	0	0.0701287662	0.0568850268	0.43180607	0.0568850268	2.25440533	1.82259926	0	0	0	0	0	0	3
9	58	0	0.0788948619	0.0552724287	0.389968999	0.0552724287	2.25440533	1.86443633	0	0	0	0	0	0	3
10	59	0	0.0876609577	0.0519630357	0.356168403	0.0519630357	2.25440533	1.89823692	0	0	0	0	0	0	3
11	60	0	0.0964270535	0.0482543247	0.328176214	0.0482543247	2.25440533	1.92622911	0	0	0	0	0	0	3
12	61	0	0.105193149	0.0463145202	0.304687739	0.0463145202	2.25440533	1.94971759	0	0	0	0	0	0	3
13	62	0	0.113959245	0.0442231813	0.284652004	0.0442231813	2.25440533	1.96975332	0	0	0	0	0	0	3
14	63	0	0.122725341	0.0424723854	0.26735346	0.0424723854	2.25440533	1.98705187	0	0	0	0	0	0	3
15	64	0	0.131491437	0.042154728	0.252340211	0.042154728	2.25440533	2.00206511	0	0	0	0	0	0	3
16	66	0	0.140257532	0.0359633659	0.238816658	0.0359633659	2.25440533	2.01558867	0	0	0	0	0	0	3
17	67	0	0.149023628	0.0350179354	0.226828498	0.0350179354	2.25440533	2.02757683	0	0	0	0	0	0	3
18	68	0	0.157789724	0.0341632757	0.216124875	0.0341632757	2.25440533	2.03828045	0	0	0	0	0	0	3
19	69	0	0.16655582	0.0335138601	0.206513769	0.0335138601	2.25440533	2.04789156	0	0	0	0	0	0	3
20	69	0	0.175321915	0.0328732863	0.197831745	0.0328732863	2.25440533	2.05657358	0	0	0	0	0	0	3
21	71	0	0.184088011	0.030346129	0.189856239	0.030346129	2.25440533	2.06454909	0	0	0	0	0	0	3
22	72	0	0.192854107	0.0294869251	0.182566725	0.0294869251	2.25440533	2.0718386	0	0	0	0	0	0	3
23	73	0	0.201620203	0.0289524409	0.175887843	0.0289524409	2.25440533	2.07851748	0	0	0	0	0	0	3
24	74	0	0.210386298	0.0282791972	0.169737483	0.0282791972	2.25440533	2.08466784	0	0	0	0	0	0	3
25	75	0	0.219152394	0.0278360348	0.164061425	0.0278360348	2.25440533	2.0903439	0	0	0	0	0	0	3
26	76	0	0.22791849	0.0274284235	0.158806309	0.0274284235	2.25440533	2.09559902	0	0	0	0	0	0	3
27	78	0	0.236684586	0.0267372075	0.153914861	0.0267372075	2.25440533	2.10049046	0	0	0	0	0	0	3
28	79	0	0.245450682	0.0260926029	0.14934978	0.0260926029	2.25440533	2.10505555	0	0	0	0	0	0	3
29	80	0	0.254216777	0.0255433544	0.145080593	0.0255433544	2.25440533	2.10932473	0	0	0	0	0	0	3
30	81	0	0.262982873	0.0250421061	0.14107931	0.0250421061	2.25440533	2.11332602	0	0	0	0	0	0	3
