Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	48	0	0.00876609577	-0.74773605	-0.74773605	-0.74773605	-0.74773605	0	0	0	0	0	0	0	3
2	50	0	0.0175321915	-0.275176438	-0.511456244	-0.74773605	-0.275176438	0.236279806	0	0	0	0	0	0	3
3	51	0	0.0262982873	0.0848283987	-0.312694697	-0.74773605	0.0848283987	0.435041354	0	0	0	0	0	0	3
4	52	0	0.0350643831	0.084917347	-0.213291686	-0.74773605	0.084917347	0.534444364	0	0	0	0	0	0	3
5	54	0	0.0438304789	0.0784770365	-0.154937941	-0.74773605	0.084917347	0.592798109	0	0	0	0	0	0	3
6	55	0	0.0525965746	0.0874501361	-0.114539928	-0.74773605	0.0874501361	0.633196122	0	0	0	0	0	0	3
7	56	0	0.0613626704	0.0907220545	-0.085216788	-0.74773605	0.0907220545	0.662519262	0	0	0	0	0	0	3
8	57	0	0.0701287662	0.0902638237	-0.0632817115	-0.74773605	0.0907220545	0.684454339	0	0	0	0	0	0	3
9	58	0	0.0788948619	0.0941485289	-0.0457894626	-0.74773605	0.0941485289	0.701946588	0	0	0	0	0	0	3
10	59	0	0.0876609577	0.0947743084	-0.0317330855	-0.74773605	0.0947743084	0.716002965	0	0	0	0	0	0	3
11	60	0	0.0964270535	0.0970635797	-0.0200242977	-0.74773605	0.0970635797	0.727711752	0	0	0	0	0	0	3
12	61	0	0.105193149	0.0996890967	-0.0100481815	-0.74773605	0.0996890967	0.737687869	0	0	0	0	0	0	3
13	62	0	0.113959245	0.10148077	-0.0014690314	-0.74773605	0.10148077	0.746267019	0	0	0	0	0	0	3
14	63	0	0.122725341	0.104594226	0.00610691556	-0.74773605	0.104594226	0.753842966	0	0	0	0	0	0	3
15	64	0	0.131491437	0.106232521	0.0127819559	-0.74773605	0.106232521	0.760518006	0	0	0	0	0	0	3
16	66	0	0.140257532	0.109933652	0.018853937	-0.74773605	0.109933652	0.766589987	0	0	0	0	0	0	3
17	67	0	0.149023628	0.113045031	0.0243945895	-0.74773605	0.113045031	0.77213064	0	0	0	0	0	0	3
18	68	0	0.157789724	0.116660286	0.0295204616	-0.74773605	0.116660286	0.777256512	0	0	0	0	0	0	3
19	69	0	0.16655582	0.120249146	0.0342956555	-0.74773605	0.120249146	0.782031706	0	0	0	0	0	0	3
20	69	0	0.175321915	0.123617128	0.0387617291	-0.74773605	0.123617128	0.786497779	0	0	0	0	0	0	3
21	71	0	0.184088011	0.128318259	0.0430263258	-0.74773605	0.128318259	0.790762376	0	0	0	0	0	0	3
22	72	0	0.192854107	0.132812406	0.0471075113	-0.74773605	0.132812406	0.794843561	0	0	0	0	0	0	3
23	73	0	0.201620203	0.137123147	0.0510212346	-0.74773605	0.137123147	0.798757285	0	0	0	0	0	0	3
24	74	0	0.210386298	0.140996774	0.0547702154	-0.74773605	0.140996774	0.802506266	0	0	0	0	0	0	3
25	75	0	0.219152394	0.144504942	0.0583596044	-0.74773605	0.144504942	0.806095655	0	0	0	0	0	0	3
26	76	0	0.22791849	0.149137379	0.0618510573	-0.74773605	0.149137379	0.809587107	0	0	0	0	0	0	3
27	78	0	0.236684586	0.153529387	0.065246551	-0.74773605	0.153529387	0.812982601	0	0	0	0	0	0	3
28	79	0	0.245450682	0.157346376	0.0685358304	-0.74773605	0.157346376	0.816271881	0	0	0	0	0	0	3
29	80	0	0.254216777	0.160627586	0.0717114082	-0.74773605	0.160627586	0.819447458	0	0	0	0	0	0	3
30	81	0	0.262982873	0.163700875	0.0747777238	-0.74773605	0.163700875	0.822513774	0	0	0	0	0	0	3
31	82	0	0.271748969	0.167663878	0.0777740513	-0.74773605	0.167663878	0.825510102	0	0	0	0	0	0	3
32	83	0	0.280515065	0.171825223	0.0807131505	-0.74773605	0.171825223	0.828449201	0	0	0	0	0	0	3
33	84	0	0.28928116	0.175265826	0.083578383	-0.74773605	0.175265826	0.831314433	0	0	0	0	0	0	3
34	86	0	0.298047256	0.178228037	0.0863621964	-0.74773605	0.178228037	0.834098247	0	0	0	0	0	0	3
35	87	0	0.306813352	0.180738095	0.0890586506	-0.74773605	0.180738095	0.836794701	0	0	0	0	0	0	3
36	88	0	0.315579448	0.183867628	0.0916922333	-0.74773605	0.183867628	0.839428284	0	0	0	0	0	0	3
37	89	0	0.324345543	0.186722443	0.0942606174	-0.74773605	0.186722443	0.841996668	0	0	0	0	0	0	3
38	90	0	0.333111639	0.188911567	0.0967514318	-0.74773605	0.188911567	0.844487482	0	0	0	0	0	0	3
39	91	0	0.341877735	0.19057186	0.0991570838	-0.74773605	0.19057186	0.846893134	0	0	0	0	0	0	3
40	92	0	0.350643831	0.19185086	0.101474428	-0.74773605	0.19185086	0.849210478	0	0	0	0	0	0	3
41	94	0	0.359409927	0.193137858	0.103710122	-0.74773605	0.193137858	0.851446172	0	0	0	0	0	0	3
42	95	0	0.368176022	0.194265065	0.105866192	-0.74773605	0.194265065	0.853602242	0	0	0	0	0	0	3
43	96	0	0.376942118	0.195103261	0.107941472	-0.74773605	0.195103261	0.855677523	0	0	0	0	0	0	3
44	97	0	0.385708214	0.195717757	0.109936388	-0.74773605	0.195717757	0.857672438	0	0	0	0	0	0	3
45	98	0	0.39447431	0.196146737	0.111852174	-0.74773605	0.196146737	0.859588224	0	0	0	0	0	0	3
46	100	0	0.403240405	0.196431683	0.113690859	-0.74773605	0.196431683	0.861426909	0	0	0	0	0	0	3
47	101	0	0.412006501	0.19661798	0.115455265	-0.74773605	0.19661798	0.863191316	0	0	0	0	0	0	3
