Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	48	0	0.00876609577	0.0162247019	0.0162247019	0.0162247019	0.0162247019	0	0	0	0	0	0	0	3
2	50	0	0.0175321915	0.0656577587	0.0409412303	0.0162247019	0.0656577587	0.0247165284	0	0	0	0	0	0	3
3	51	0	0.0262982873	0.0462761453	0.0427195353	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
4	52	0	0.0350643831	0.0298223485	0.0394952386	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
5	54	0	0.0438304789	0.03203403	0.0380029969	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
6	55	0	0.0525965746	0.0295923596	0.036601224	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
7	56	0	0.0613626704	0.034358676	0.03628086	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
8	57	0	0.0701287662	0.0327419002	0.03583849	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
9	58	0	0.0788948619	0.0357868815	0.0358327558	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
10	59	0	0.0876609577	0.0357842683	0.035827907	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
11	60	0	0.0964270535	0.0374957487	0.035979529	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
12	61	0	0.105193149	0.0383879824	0.0361802334	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
13	62	0	0.113959245	0.0397299557	0.036453289	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
14	63	0	0.122725341	0.0407409303	0.0367595491	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
15	64	0	0.131491437	0.0412195295	0.0370568811	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
16	66	0	0.140257532	0.042439002	0.0373932637	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
17	67	0	0.149023628	0.0432767383	0.0377393504	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
18	68	0	0.157789724	0.0441086158	0.0380931985	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
19	69	0	0.16655582	0.0449831348	0.0384558267	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
20	69	0	0.175321915	0.0456821661	0.0388171437	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
21	71	0	0.184088011	0.0467082428	0.0391929103	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
22	72	0	0.192854107	0.0473960418	0.0395657799	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
23	73	0	0.201620203	0.0479546532	0.0399305135	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
24	74	0	0.210386298	0.0483574666	0.0402816366	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
25	75	0	0.219152394	0.0485512855	0.0406124225	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
26	76	0	0.22791849	0.0489190764	0.0409319092	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
27	78	0	0.236684586	0.0489930171	0.0412304688	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
28	79	0	0.245450682	0.0489064698	0.0415046117	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
29	80	0	0.254216777	0.0487136606	0.0417531996	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
30	81	0	0.262982873	0.0485354348	0.0419792741	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
31	82	0	0.271748969	0.0486111523	0.0421932056	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
32	83	0	0.280515065	0.0486334907	0.0423944645	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
33	84	0	0.28928116	0.0484896534	0.0425791672	0.0162247019	0.0656577587	0.0264948334	0	0	0	0	0	0	3
34	86	0	0.298047256	0.0483053771	0.0427475852	0.0162247019	0.0656577587	0.0265228832	0	0	0	0	0	0	3
35	87	0	0.306813352	0.048119521	0.0429010691	0.0162247019	0.0656577587	0.0266763671	0	0	0	0	0	0	3
36	88	0	0.315579448	0.0481834882	0.0430478029	0.0162247019	0.0656577587	0.026823101	0	0	0	0	0	0	3
37	89	0	0.324345543	0.0481703726	0.0431862507	0.0162247019	0.0656577587	0.0269615488	0	0	0	0	0	0	3
38	90	0	0.333111639	0.0480368182	0.0433138973	0.0162247019	0.0656577587	0.0270891953	0	0	0	0	0	0	3
39	91	0	0.341877735	0.0478594353	0.0434304495	0.0162247019	0.0656577587	0.0272057476	0	0	0	0	0	0	3
40	92	0	0.350643831	0.0476914692	0.043536975	0.0162247019	0.0656577587	0.0273122731	0	0	0	0	0	0	3
41	94	0	0.359409927	0.0476682925	0.0436377389	0.0162247019	0.0656577587	0.0274130369	0	0	0	0	0	0	3
42	95	0	0.368176022	0.0476114452	0.0437323509	0.0162247019	0.0656577587	0.027507649	0	0	0	0	0	0	3
43	96	0	0.376942118	0.0475251179	0.0438205548	0.0162247019	0.0656577587	0.0275958529	0	0	0	0	0	0	3
44	97	0	0.385708214	0.0474278025	0.0439025377	0.0162247019	0.0656577587	0.0276778358	0	0	0	0	0	0	3
45	98	0	0.39447431	0.0473303966	0.0439787123	0.0162247019	0.0656577587	0.0277540104	0	0	0	0	0	0	3
46	100	0	0.403240405	0.0472326229	0.0440494495	0.0162247019	0.0656577587	0.0278247476	0	0	0	0	0	0	3
47	101	0	0.412006501	0.0471499919	0.0441154185	0.0162247019	0.0656577587	0.0278907166	0	0	0	0	0	0	3
48	102	0	0.420772597	0.0470704912	0.0441769825	0.0162247019	0.0656577587	0.0279522806	0	0	0	0	0	0	3
49	103	0	0.429538693	0.0469986146	0.0442345669	0.0162247019	0.0656577587	0.0280098649	0	0	0	0	0	0	3
50	104	0	0.438304789	0.0469237221	0.04428835	0.0162247019	0.0656577587	0.028063648	0	0	0	0	0	0	3
51	106	0	0.447070884	0.046842049	0.0443384225	0.0162247019	0.0656577587	0.0281137206	0	0	0	0	0	0	3
52	107	0	0.45583698	0.0467666279	0.0443851187	0.0162247019	0.0656577587	0.0281604168	0	0	0	0	0	0	3
53	107	0	0.464603076	0.0466667863	0.0444281691	0.0162247019	0.0656577587	0.0282034671	0	0	0	0	0	0	3
54	108	0	0.473369172	0.0465546712	0.0444675487	0.0162247019	0.0656577587	0.0282428468	0	0	0	0	0	0	3
55	109	0	0.482135267	0.0464334554	0.0445032925	0.0162247019	0.0656577587	0.0282785906	0	0	0	0	0	0	3
56	111	0	0.490901363	0.0463070764	0.0445355029	0.0162247019	0.0656577587	0.028310801	0	0	0	0	0	0	3
57	112	0	0.499667459	0.0461631094	0.0445640574	0.0162247019	0.0656577587	0.0283393555	0	0	0	0	0	0	3
