Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	48	0	0.00876609577	-0.00930632288	-0.00930632288	-0.00930632288	-0.00930632288	0	0	0	0	0	0	0	3
2	50	0	0.0175321915	-0.00342484595	-0.00636558442	-0.00930632288	-0.00342484595	0.00294073846	0	0	0	0	0	0	3
3	51	0	0.0262982873	0.00105577425	-0.00389179819	-0.00930632288	0.00105577425	0.00541452469	0	0	0	0	0	0	3
4	52	0	0.0350643831	0.0010568813	-0.00265462832	-0.00930632288	0.0010568813	0.00665169456	0	0	0	0	0	0	3
5	54	0	0.0438304789	0.000976725196	-0.00192835762	-0.00930632288	0.0010568813	0.00737796526	0	0	0	0	0	0	3
6	55	0	0.0525965746	0.00108840439	-0.00142556395	-0.00930632288	0.00108840439	0.00788075893	0	0	0	0	0	0	3
7	56	0	0.0613626704	0.00112912669	-0.00106060814	-0.00930632288	0.00112912669	0.00824571474	0	0	0	0	0	0	3
8	57	0	0.0701287662	0.00112342355	-0.000787604181	-0.00930632288	0.00112912669	0.0085187187	0	0	0	0	0	0	3
9	58	0	0.0788948619	0.00117177259	-0.000569895651	-0.00930632288	0.00117177259	0.00873642723	0	0	0	0	0	0	3
10	59	0	0.0876609577	0.00117956104	-0.000394949982	-0.00930632288	0.00117956104	0.0089113729	0	0	0	0	0	0	3
11	60	0	0.0964270535	0.00120805331	-0.00024922241	-0.00930632288	0.00120805331	0.00905710047	0	0	0	0	0	0	3
12	61	0	0.105193149	0.0012407305	-0.000125059667	-0.00930632288	0.0012407305	0.00918126321	0	0	0	0	0	0	3
13	62	0	0.113959245	0.00126302967	-1.82835648e-05	-0.00930632288	0.00126302967	0.00928803932	0	0	0	0	0	0	3
14	63	0	0.122725341	0.00130177974	7.6006671e-05	-0.00930632288	0.00130177974	0.00938232955	0	0	0	0	0	0	3
15	64	0	0.131491437	0.00132216996	0.000159084224	-0.00930632288	0.00132216996	0.0094654071	0	0	0	0	0	0	3
16	66	0	0.140257532	0.00136823424	0.000234656099	-0.00930632288	0.00136823424	0.00954097898	0	0	0	0	0	0	3
17	67	0	0.149023628	0.00140695845	0.000303615061	-0.00930632288	0.00140695845	0.00960993794	0	0	0	0	0	0	3
18	68	0	0.157789724	0.00145195392	0.000367411665	-0.00930632288	0.00145195392	0.00967373455	0	0	0	0	0	0	3
19	69	0	0.16655582	0.00149662087	0.000426843728	-0.00930632288	0.00149662087	0.00973316661	0	0	0	0	0	0	3
20	69	0	0.175321915	0.00153853878	0.000482428481	-0.00930632288	0.00153853878	0.00978875136	0	0	0	0	0	0	3
21	71	0	0.184088011	0.00159704906	0.000535505651	-0.00930632288	0.00159704906	0.00984182853	0	0	0	0	0	0	3
22	72	0	0.192854107	0.0016529832	0.000586300085	-0.00930632288	0.0016529832	0.00989262297	0	0	0	0	0	0	3
23	73	0	0.201620203	0.00170663469	0.000635010285	-0.00930632288	0.00170663469	0.00994133317	0	0	0	0	0	0	3
24	74	0	0.210386298	0.00175484585	0.0006816701	-0.00930632288	0.00175484585	0.00998799298	0	0	0	0	0	0	3
25	75	0	0.219152394	0.0017985085	0.000726343637	-0.00930632288	0.0017985085	0.0100326665	0	0	0	0	0	0	3
26	76	0	0.22791849	0.00185616382	0.000769798259	-0.00930632288	0.00185616382	0.0100761211	0	0	0	0	0	0	3
27	78	0	0.236684586	0.00191082676	0.000812058574	-0.00930632288	0.00191082676	0.0101183815	0	0	0	0	0	0	3
28	79	0	0.245450682	0.00195833299	0.000852996946	-0.00930632288	0.00195833299	0.0101593198	0	0	0	0	0	0	3
29	80	0	0.254216777	0.00199917093	0.000892520187	-0.00930632288	0.00199917093	0.0101988431	0	0	0	0	0	0	3
30	81	0	0.262982873	0.00203742109	0.00093068355	-0.00930632288	0.00203742109	0.0102370064	0	0	0	0	0	0	3
31	82	0	0.271748969	0.00208674463	0.000967975843	-0.00930632288	0.00208674463	0.0102742987	0	0	0	0	0	0	3
32	83	0	0.280515065	0.00213853673	0.00100455587	-0.00930632288	0.00213853673	0.0103108788	0	0	0	0	0	0	3
33	84	0	0.28928116	0.00218135847	0.00104021656	-0.00930632288	0.00218135847	0.0103465394	0	0	0	0	0	0	3
34	86	0	0.298047256	0.00221822615	0.0010748639	-0.00930632288	0.00221822615	0.0103811868	0	0	0	0	0	0	3
35	87	0	0.306813352	0.00224946633	0.00110842397	-0.00930632288	0.00224946633	0.0104147468	0	0	0	0	0	0	3
36	88	0	0.315579448	0.0022884165	0.00114120154	-0.00930632288	0.0022884165	0.0104475244	0	0	0	0	0	0	3
37	89	0	0.324345543	0.00232394752	0.00117316764	-0.00930632288	0.00232394752	0.0104794905	0	0	0	0	0	0	3
38	90	0	0.333111639	0.00235119337	0.00120416832	-0.00930632288	0.00235119337	0.0105104912	0	0	0	0	0	0	3
39	91	0	0.341877735	0.00237185737	0.00123410907	-0.00930632288	0.00237185737	0.0105404319	0	0	0	0	0	0	3
40	92	0	0.350643831	0.00238777581	0.00126295073	-0.00930632288	0.00238777581	0.0105692736	0	0	0	0	0	0	3
41	94	0	0.359409927	0.00240379378	0.00129077617	-0.00930632288	0.00240379378	0.0105970991	0	0	0	0	0	0	3
42	95	0	0.368176022	0.002417823	0.00131761062	-0.00930632288	0.002417823	0.0106239335	0	0	0	0	0	0	3
43	96	0	0.376942118	0.00242825518	0.00134343957	-0.00930632288	0.00242825518	0.0106497624	0	0	0	0	0	0	3
44	97	0	0.385708214	0.0024359032	0.00136826828	-0.00930632288	0.0024359032	0.0106745912	0	0	0	0	0	0	3
45	98	0	0.39447431	0.00244124229	0.00139211215	-0.00930632288	0.00244124229	0.010698435	0	0	0	0	0	0	3
46	100	0	0.403240405	0.00244478873	0.00141499642	-0.00930632288	0.00244478873	0.0107213193	0	0	0	0	0	0	3
47	101	0	0.412006501	0.00244710738	0.00143695623	-0.00930632288	0.00244710738	0.0107432791	0	0	0	0	0	0	3
48	102	0	0.420772597	0.00244842193	0.00145802843	-0.00930632288	0.00244842193	0.0107643513	0	0	0	0	0	0	3
49	103	0	0.429538693	0.00244893663	0.00147825105	-0.00930632288	0.00244893663	0.0107845739	0	0	0	0	0	0	3
50	104	0	0.438304789	0.00244872875	0.0014976606	-0.00930632288	0.00244893663	0.0108039835	0	0	0	0	0	0	3
51	106	0	0.447070884	0.00244765279	0.0015162879	-0.00930632288	0.00244893663	0.0108226108	0	0	0	0	0	0	3
52	107	0	0.45583698	0.00244670795	0.0015341806	-0.00930632288	0.00244893663	0.0108405035	0	0	0	0	0	0	3
53	107	0	0.464603076	0.00244471977	0.00155136058	-0.00930632288	0.00244893663	0.0108576835	0	0	0	0	0	0	3
54	108	0	0.473369172	0.00244208029	0.00156785539	-0.00930632288	0.00244893663	0.0108741783	0	0	0	0	0	0	3
55	109	0	0.482135267	0.00243890589	0.00158369267	-0.00930632288	0.00244893663	0.0108900156	0	0	0	0	0	0	3
56	111	0	0.490901363	0.00243513212	0.00159889695	-0.00930632288	0.00244893663	0.0109052198	0	0	0	0	0	0	3
57	112	0	0.499667459	0.00243081562	0.00161349201	-0.00930632288	0.00244893663	0.0109198149	0	0	0	0	0	0	3
58	113	0	0.508433555	0.00242602354	0.00162750118	-0.00930632288	0.00244893663	0.0109338241	0	0	0	0	0	0	3
59	113	0	0.51719965	0.00242085686	0.00182969393	-0.00342484595	0.00244893663	0.00587378258	0	0	0	0	0	0	3
60	114	0	0.525965746	0.00241537445	0.00193038739	0.000976725196	0.00244893663	0.00147221143	0	0	0	0	0	0	3
61	116	0	0.534731842	0.00240969581	0.00195373086	0.000976725196	0.00244893663	0.00147221143	0	0	0	0	0	0	3
62	117	0	0.543497938	0.00240368575	0.00197695163	0.000976725196	0.00244893663	0.00147221143	0	0	0	0	0	0	3
63	118	0	0.552264034	0.00239758149	0.00200144915	0.00108840439	0.00244893663	0.00136053224	0	0	0	0	0	0	3
64	118	0	0.561030129	0.00239134085	0.00202391357	0.00112342355	0.00244893663	0.00132551308	0	0	0	0	0	0	3
65	119	0	0.569796225	0.00238514229	0.00204556901	0.00112342355	0.00244893663	0.00132551308	0	0	0	0	0	0	3
66	121	0	0.578562321	0.00237890213	0.00206721519	0.00117177259	0.00244893663	0.00127716404	0	0	0	0	0	0	3
67	122	0	0.587328417	0.00237275882	0.00208792185	0.00117956104	0.00244893663	0.00126937559	0	0	0	0	0	0	3
68	123	0	0.596094512	0.00236644252	0.00210838533	0.00120805331	0.00244893663	0.00124088332	0	0	0	0	0	0	3
69	123	0	0.604860608	0.00236022772	0.0021282504	0.0012407305	0.00244893663	0.00120820613	0	0	0	0	0	0	3
70	124	0	0.613626704	0.00235385302	0.00214744217	0.00126302967	0.00244893663	0.00118590697	0	0	0	0	0	0	3
71	126	0	0.6223928	0.00234728865	0.00216613629	0.00130177974	0.00244893663	0.00114715689	0	0	0	0	0	0	3
72	127	0	0.631158895	0.00234057001	0.00218404647	0.00132216996	0.00244893663	0.00112676667	0	0	0	0	0	0	3
73	128	0	0.639924991	0.00233363511	0.00220148552	0.00136823424	0.00244893663	0.00108070239	0	0	0	0	0	0	3
74	128	0	0.648691087	0.00232564879	0.00221799267	0.00140695845	0.00244893663	0.00104197818	0	0	0	0	0	0	3
75	129	0	0.657457183	0.00231743275	0.0022336905	0.00145195392	0.00244893663	0.00099698271	0	0	0	0	0	0	3
76	131	0	0.666223279	0.00230902066	0.00224846752	0.00149662087	0.00244893663	0.000952315761	0	0	0	0	0	0	3
77	132	0	0.674989374	0.00230081302	0.0022623329	0.00153853878	0.00244893663	0.000910397852	0	0	0	0	0	0	3
78	133	0	0.68375547	0.00229298846	0.00227534065	0.00159704906	0.00244893663	0.000851887575	0	0	0	0	0	0	3
79	133	0	0.692521566	0.0022856761	0.00228721353	0.0016529832	0.00244893663	0.000795953426	0	0	0	0	0	0	3
80	134	0	0.701287662	0.00227872166	0.00229800212	0.00170663469	0.00244893663	0.00074230194	0	0	0	0	0	0	3
81	136	0	0.710053757	0.00227242238	0.00230775708	0.00175484585	0.00244893663	0.000694090785	0	0	0	0	0	0	3
82	137	0	0.718819853	0.00226636294	0.00231657635	0.0017985085	0.00244893663	0.000650428129	0	0	0	0	0	0	3
83	138	0	0.727585949	0.00226083091	0.00232454742	0.00185616382	0.00244893663	0.000592772812	0	0	0	0	0	0	3
84	138	0	0.736352045	0.00225548433	0.00233143226	0.00191082676	0.00244893663	0.000538109875	0	0	0	0	0	0	3
85	139	0	0.74511814	0.00225039258	0.00233728684	0.00195833299	0.00244893663	0.00049060364	0	0	0	0	0	0	3
86	141	0	0.753884236	0.00224584063	0.00234224387	0.00199917093	0.00244893663	0.000449765697	0	0	0	0	0	0	3
87	142	0	0.762650332	0.00224053765	0.00234640536	0.00203742109	0.00244893663	0.000411515542	0	0	0	0	0	0	3
88	143	0	0.771416428	0.00223522329	0.00234981575	0.00208674463	0.00244893663	0.000362192	0	0	0	0	0	0	3
89	144	0	0.780182524	0.00223005264	0.00235228657	0.00213853673	0.00244893663	0.000310399905	0	0	0	0	0	0	3
90	145	0	0.788948619	0.00222457532	0.00235377	0.00218135847	0.00244893663	0.000267578165	0	0	0	0	0	0	3
91	146	0	0.797714715	0.00222119865	0.0023544569	0.00221822615	0.00244893663	0.000230710481	0	0	0	0	0	0	3
