Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	48	0	0.00876609577	0	0	0	0	0	0	0	0	0	0	0	3
2	50	0	0.0175321915	0	0	0	0	0	0	0	0	0	0	0	3
3	51	0	0.0262982873	0	0	0	0	0	0	0	0	0	0	0	3
4	52	0	0.0350643831	0	0	0	0	0	0	0	0	0	0	0	3
5	54	0	0.0438304789	0	0	0	0	0	0	0	0	0	0	0	3
6	55	0	0.0525965746	0	0	0	0	0	0	0	0	0	0	0	3
7	56	0	0.0613626704	0	0	0	0	0	0	0	0	0	0	0	3
8	57	0	0.0701287662	0	0	0	0	0	0	0	0	0	0	0	3
9	58	0	0.0788948619	0	0	0	0	0	0	0	0	0	0	0	3
10	59	0	0.0876609577	0	0	0	0	0	0	0	0	0	0	0	3
11	60	0	0.0964270535	0	0	0	0	0	0	0	0	0	0	0	3
12	61	0	0.105193149	0	0	0	0	0	0	0	0	0	0	0	3
13	62	0	0.113959245	0	0	0	0	0	0	0	0	0	0	0	3
14	63	0	0.122725341	0	0	0	0	0	0	0	0	0	0	0	3
15	64	0	0.131491437	0	0	0	0	0	0	0	0	0	0	0	3
16	66	0	0.140257532	0	0	0	0	0	0	0	0	0	0	0	3
17	67	0	0.149023628	0	0	0	0	0	0	0	0	0	0	0	3
18	68	0	0.157789724	0	0	0	0	0	0	0	0	0	0	0	3
19	69	0	0.16655582	0	0	0	0	0	0	0	0	0	0	0	3
20	69	0	0.175321915	0	0	0	0	0	0	0	0	0	0	0	3
21	71	0	0.184088011	0	0	0	0	0	0	0	0	0	0	0	3
22	72	0	0.192854107	0	0	0	0	0	0	0	0	0	0	0	3
23	73	0	0.201620203	0	0	0	0	0	0	0	0	0	0	0	3
24	74	0	0.210386298	0	0	0	0	0	0	0	0	0	0	0	3
25	75	0	0.219152394	0	0	0	0	0	0	0	0	0	0	0	3
26	76	0	0.22791849	0	0	0	0	0	0	0	0	0	0	0	3
27	78	0	0.236684586	0	0	0	0	0	0	0	0	0	0	0	3
28	79	0	0.245450682	0	0	0	0	0	0	0	0	0	0	0	3
29	80	0	0.254216777	0	0	0	0	0	0	0	0	0	0	0	3
30	81	0	0.262982873	0	0	0	0	0	0	0	0	0	0	0	3
31	82	0	0.271748969	0	0	0	0	0	0	0	0	0	0	0	3
32	83	0	0.280515065	0	0	0	0	0	0	0	0	0	0	0	3
33	84	0	0.28928116	0	0	0	0	0	0	0	0	0	0	0	3
34	86	0	0.298047256	0	0	0	0	0	0	0	0	0	0	0	3
35	87	0	0.306813352	0	0	0	0	0	0	0	0	0	0	0	3
36	88	0	0.315579448	0	0	0	0	0	0	0	0	0	0	0	3
37	89	0	0.324345543	0	0	0	0	0	0	0	0	0	0	0	3
38	90	0	0.333111639	0	0	0	0	0	0	0	0	0	0	0	3
39	91	0	0.341877735	0	0	0	0	0	0	0	0	0	0	0	3
40	92	0	0.350643831	0	0	0	0	0	0	0	0	0	0	0	3
41	94	0	0.359409927	0	0	0	0	0	0	0	0	0	0	0	3
42	95	0	0.368176022	0	0	0	0	0	0	0	0	0	0	0	3
43	96	0	0.376942118	0	0	0	0	0	0	0	0	0	0	0	3
44	97	0	0.385708214	0	0	0	0	0	0	0	0	0	0	0	3
45	98	0	0.39447431	0	0	0	0	0	0	0	0	0	0	0	3
46	100	0	0.403240405	0	0	0	0	0	0	0	0	0	0	0	3
47	101	0	0.412006501	0	0	0	0	0	0	0	0	0	0	0	3
48	102	0	0.420772597	0	0	0	0	0	0	0	0	0	0	0	3
49	103	0	0.429538693	0	0	0	0	0	0	0	0	0	0	0	3
50	104	0	0.438304789	0	0	0	0	0	0	0	0	0	0	0	3
51	106	0	0.447070884	0	0	0	0	0	0	0	0	0	0	0	3
52	107	0	0.45583698	0	0	0	0	0	0	0	0	0	0	0	3
53	107	0	0.464603076	0	0	0	0	0	0	0	0	0	0	0	3
54	108	0	0.473369172	0	0	0	0	0	0	0	0	0	0	0	3
55	109	0	0.482135267	0	0	0	0	0	0	0	0	0	0	0	3
56	111	0	0.490901363	0	0	0	0	0	0	0	0	0	0	0	3
57	112	0	0.499667459	0	0	0	0	0	0	0	0	0	0	0	3
58	113	0	0.508433555	0	0	0	0	0	0	0	0	0	0	0	3
59	113	0	0.51719965	0	0	0	0	0	0	0	0	0	0	0	3
60	114	0	0.525965746	0	0	0	0	0	0	0	0	0	0	0	3
61	116	0	0.534731842	0	0	0	0	0	0	0	0	0	0	0	3
62	117	0	0.543497938	0	0	0	0	0	0	0	0	0	0	0	3
63	118	0	0.552264034	0	0	0	0	0	0	0	0	0	0	0	3
64	118	0	0.561030129	0	0	0	0	0	0	0	0	0	0	0	3
65	119	0	0.569796225	0	0	0	0	0	0	0	0	0	0	0	3
66	121	0	0.578562321	0	0	0	0	0	0	0	0	0	0	0	3
67	122	0	0.587328417	0	0	0	0	0	0	0	0	0	0	0	3
68	123	0	0.596094512	0	0	0	0	0	0	0	0	0	0	0	3
69	123	0	0.604860608	0	0	0	0	0	0	0	0	0	0	0	3
70	124	0	0.613626704	0	0	0	0	0	0	0	0	0	0	0	3
71	126	0	0.6223928	0	0	0	0	0	0	0	0	0	0	0	3
72	127	0	0.631158895	0	0	0	0	0	0	0	0	0	0	0	3
73	128	0	0.639924991	0	0	0	0	0	0	0	0	0	0	0	3
74	128	0	0.648691087	0	0	0	0	0	0	0	0	0	0	0	3
75	129	0	0.657457183	0	0	0	0	0	0	0	0	0	0	0	3
76	131	0	0.666223279	0	0	0	0	0	0	0	0	0	0	0	3
77	132	0	0.674989374	0	0	0	0	0	0	0	0	0	0	0	3
78	133	0	0.68375547	0	0	0	0	0	0	0	0	0	0	0	3
79	133	0	0.692521566	0	0	0	0	0	0	0	0	0	0	0	3
80	134	0	0.701287662	0	0	0	0	0	0	0	0	0	0	0	3
81	136	0	0.710053757	0	0	0	0	0	0	0	0	0	0	0	3
82	137	0	0.718819853	0	0	0	0	0	0	0	0	0	0	0	3
83	138	0	0.727585949	0	0	0	0	0	0	0	0	0	0	0	3
84	138	0	0.736352045	0	0	0	0	0	0	0	0	0	0	0	3
85	139	0	0.74511814	0	0	0	0	0	0	0	0	0	0	0	3
86	141	0	0.753884236	0	0	0	0	0	0	0	0	0	0	0	3
87	142	0	0.762650332	0	0	0	0	0	0	0	0	0	0	0	3
88	143	0	0.771416428	0	0	0	0	0	0	0	0	0	0	0	3
89	144	0	0.780182524	0	0	0	0	0	0	0	0	0	0	0	3
