Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	48	0	0.00876609577	101374.159	101374.159	101374.159	101374.159	0	0	0	0	15570.5	0	0	3
2	50	0	0.0175321915	101323.618	101348.888	101323.618	101374.159	25.2703277	0	0	0	6377.03	0	0	3
3	51	0	0.0262982873	101319.001	101338.926	101319.001	101374.159	35.232762	0	0	0	3583.38	0	0	3
4	52	0	0.0350643831	101322.533	101334.828	101319.001	101374.159	39.3310073	0	0	0	3788.35	0	0	3
5	54	0	0.0438304789	101325.342	101332.931	101319.001	101374.159	41.2281669	0	0	0	3961.22	0	0	3
6	55	0	0.0525965746	101326.451	101331.851	101319.001	101374.159	42.3080857	0	0	0	3279.85	0	0	3
7	56	0	0.0613626704	101326.891	101331.142	101319.001	101374.159	43.0165632	0	0	0	2767.48	0	0	3
8	57	0	0.0701287662	101327.005	101330.625	101319.001	101374.159	43.533768	0	0	0	2392.35	0	0	3
9	58	0	0.0788948619	101326.777	101330.197	101319.001	101374.159	43.9612779	0	0	0	2201.01	0	0	3
10	59	0	0.0876609577	101326.449	101329.823	101319.001	101374.159	44.3361393	0	0	0	2062.12	0	0	3
11	60	0	0.0964270535	101326.167	101329.49	101319.001	101374.159	44.6684676	0	0	0	2011.61	0	0	3
12	61	0	0.105193149	101325.958	101329.196	101319.001	101374.159	44.9628224	0	0	0	1926.22	0	0	3
13	62	0	0.113959245	101325.797	101328.934	101319.001	101374.159	45.2242465	0	0	0	1846.32	0	0	3
14	63	0	0.122725341	101325.714	101328.704	101319.001	101374.159	45.4542622	0	0	0	1749.19	0	0	3
15	64	0	0.131491437	101325.7	101328.504	101319.001	101374.159	45.6545578	0	0	0	1659.04	0	0	3
16	66	0	0.140257532	101325.713	101328.33	101319.001	101374.159	45.8290361	0	0	0	1580.94	0	0	3
17	67	0	0.149023628	101325.73	101328.177	101319.001	101374.159	45.9819759	0	0	0	1555.35	0	0	3
18	68	0	0.157789724	101325.751	101328.042	101319.001	101374.159	46.116767	0	0	0	1561.67	0	0	3
