Iteration	CPUTime	PhysTime	Travels
1	20	0	0.00992953813
2	21	0	0.0198590763
3	21	0	0.0297886144
4	22	0	0.0397181525
5	23	0	0.0496476907
6	24	0	0.0595772288
7	24	0	0.0695067669
8	25	0	0.0794363051
9	26	0	0.0893658432
10	26	0	0.0992953813
11	27	0	0.109224919
12	27	0	0.119154458
13	28	0	0.129083996
14	29	0	0.139013534
15	29	0	0.148943072
16	30	0	0.15887261
17	30	0	0.168802148
18	31	0	0.178731686
19	31	0	0.188661225
20	32	0	0.198590763
21	33	0	0.208520301
22	33	0	0.218449839
23	34	0	0.228379377
24	34	0	0.238308915
25	35	0	0.248238453
26	35	0	0.258167991
27	36	0	0.26809753
28	36	0	0.278027068
29	37	0	0.287956606
30	37	0	0.297886144
31	38	0	0.307815682
32	38	0	0.31774522
33	39	0	0.327674758
34	39	0	0.337604297
35	40	0	0.347533835
36	41	0	0.357463373
37	41	0	0.367392911
38	42	0	0.377322449
39	42	0	0.387251987
40	43	0	0.397181525
41	43	0	0.407111063
42	44	0	0.417040602
43	44	0	0.42697014
44	45	0	0.436899678
45	45	0	0.446829216
46	46	0	0.456758754
47	47	0	0.466688292
48	47	0	0.47661783
49	48	0	0.486547369
50	49	0	0.496476907
51	49	0	0.506406445
52	50	0	0.516335983
53	50	0	0.526265521
54	51	0	0.536195059
55	51	0	0.546124597
56	52	0	0.556054135
57	53	0	0.565983674
58	53	0	0.575913212
59	54	0	0.58584275
60	54	0	0.595772288
61	55	0	0.605701826
62	56	0	0.615631364
63	56	0	0.625560902
64	57	0	0.635490441
65	58	0	0.645419979
66	58	0	0.655349517
67	59	0	0.665279055
68	59	0	0.675208593
69	60	0	0.685138131
70	60	0	0.695067669
71	61	0	0.704997208
72	61	0	0.714926746
73	62	0	0.724856284
74	62	0	0.734785822
75	63	0	0.74471536
76	64	0	0.754644898
77	64	0	0.764574436
78	65	0	0.774503974
79	65	0	0.784433513
80	66	0	0.794363051
81	66	0	0.804292589
82	67	0	0.814222127
83	67	0	0.824151665
84	68	0	0.834081203
85	68	0	0.844010741
86	69	0	0.85394028
87	69	0	0.863869818
88	70	0	0.873799356
89	70	0	0.883728894
90	71	0	0.893658432
91	71	0	0.90358797
92	72	0	0.913517508
93	72	0	0.923447046
94	73	0	0.933376585
95	73	0	0.943306123
96	74	0	0.953235661
97	75	0	0.963165199
98	75	0	0.973094737
99	76	0	0.983024275
100	76	0	0.992953813
101	77	0	1.00288335
102	78	0	1.01281289
103	78	0	1.02274243
104	79	0	1.03267197
105	80	0	1.0426015
106	80	0	1.05253104
107	81	0	1.06246058
108	81	0	1.07239012
109	82	0	1.08231966
110	83	0	1.09224919
111	83	0	1.10217873
112	84	0	1.11210827
113	85	0	1.12203781
114	85	0	1.13196735
115	86	0	1.14189689
116	86	0	1.15182642
117	87	0	1.16175596
118	88	0	1.1716855
