Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	18	0	0.00992953813	0.000211617167	0.000211617167	0.000211617167	0.000211617167	0	0	0	0	0	0	0	3
2	19	0	0.0198590763	0.000597803134	0.00040471015	0.000211617167	0.000597803134	0.000193092983	0	0	0	0	0	0	3
3	19	0	0.0297886144	-0.00195133417	-0.000380637957	-0.00195133417	0.000597803134	0.000785348107	0	0	0	0	0	0	3
4	20	0	0.0397181525	-0.0017374576	-0.000719842866	-0.00195133417	0.000597803134	0.00112455302	0	0	0	0	0	0	3
5	20	0	0.0496476907	-0.00149378257	-0.000874630806	-0.00195133417	0.000597803134	0.00127934096	0	0	0	0	0	0	3
6	21	0	0.0595772288	-0.00102005803	-0.000898868677	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
7	22	0	0.0695067669	-0.000398316271	-0.00082736119	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
8	22	0	0.0794363051	2.87934882e-06	-0.000723581123	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
9	23	0	0.0893658432	2.70095818e-05	-0.000640182156	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
10	23	0	0.0992953813	6.06715898e-06	-0.000575557224	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
11	24	0	0.109224919	1.06621033e-06	-0.000523136912	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
12	24	0	0.119154458	8.58491076e-08	-0.000479535015	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
13	25	0	0.129083996	-3.90039907e-07	-0.00044267771	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
14	25	0	0.139013534	-8.18273671e-07	-0.000411116321	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
15	26	0	0.148943072	1.13619207e-07	-0.000383700992	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
16	26	0	0.15887261	-5.12112794e-07	-0.000359751687	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
17	27	0	0.168802148	-1.90877752e-06	-0.000338702104	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
18	27	0	0.178731686	-2.18327108e-06	-0.000320006613	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
19	28	0	0.188661225	-2.98865188e-06	-0.000303321457	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
20	28	0	0.198590763	-5.68297929e-06	-0.000288439534	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
21	29	0	0.208520301	-7.43308627e-06	-0.000275058274	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
22	29	0	0.218449839	-1.70635255e-05	-0.00026333124	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
23	30	0	0.228379377	-3.48047144e-05	-0.000253395304	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
24	30	0	0.238308915	-5.7651131e-05	-0.000245239297	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
25	31	0	0.248238453	-8.55967817e-05	-0.000238853596	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
26	31	0	0.258167991	-0.000104390071	-0.000233681922	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
27	32	0	0.26809753	-0.00014550675	-0.000230416175	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
28	33	0	0.278027068	-0.000193341474	-0.000229092079	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
29	33	0	0.287956606	-0.000242427033	-0.000229551905	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
30	34	0	0.297886144	-0.000293353726	-0.000231678632	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
31	34	0	0.307815682	-0.000309536974	-0.000234190192	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
32	35	0	0.31774522	-0.000352914246	-0.000237900318	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
33	35	0	0.327674758	-0.000399661318	-0.000242802167	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
34	36	0	0.337604297	-0.000445517778	-0.000248764391	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
35	36	0	0.347533835	-0.000487384014	-0.000255582094	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
36	37	0	0.357463373	-0.000501339883	-0.000262408699	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
37	37	0	0.367392911	-0.000537544274	-0.000269844796	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
38	38	0	0.377322449	-0.00057160126	-0.000277785756	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
39	38	0	0.387251987	-0.000602756739	-0.000286118345	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
40	39	0	0.397181525	-0.000631151492	-0.000294744174	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
41	39	0	0.407111063	-0.000639053741	-0.000303141968	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
42	40	0	0.417040602	-0.000658873272	-0.000311611761	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
43	40	0	0.42697014	-0.000678878029	-0.000320152837	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
44	41	0	0.436899678	-0.0006980992	-0.000328742527	-0.00195133417	0.000597803134	0.00130357883	0	0	0	0	0	0	3
