Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0146961672	111457.5	111457.5	111457.5	111457.5	0	0	0	0	666369	0	0	3
2	5	0	0.0293923343	122603.25	117030.375	111457.5	122603.25	5572.875	0	0	0	671942	0	0	3
3	6	0	0.0440885015	134863.575	122974.775	111457.5	134863.575	11517.275	0	0	0	677235	0	0	3
4	6	0	0.0587846687	148349.933	129318.564	111457.5	148349.933	17861.0644	0	0	0	682263	0	0	3
5	6	0	0.0734808358	163184.926	136091.837	111457.5	163184.926	24634.3367	0	0	0	672709	0	0	3
6	7	0	0.088177003	179503.418	143327.1	111457.5	179503.418	31869.6003	0	0	0	662197	0	0	3
7	7	0	0.10287317	197453.76	151059.48	111457.5	197453.76	39601.9802	0	0	0	650634	0	0	3
8	7	0	0.117569337	207770.59	158148.369	111457.5	207770.59	46690.8689	0	0	0	637915	0	0	3
9	7	0	0.132265504	209270.934	163828.654	111457.5	209270.934	52371.1539	0	0	0	623925	0	0	3
10	7	0	0.146961672	210759.704	168521.759	111457.5	210759.704	57064.2589	0	0	0	608534	0	0	3
11	8	0	0.161657839	222166.225	173398.529	111457.5	222166.225	61941.0286	0	0	0	591605	0	0	3
12	8	0	0.176354006	221593.012	177414.735	111457.5	222166.225	65957.2355	0	0	0	582225	0	0	3
13	8	0	0.191050173	215585.817	180350.973	111457.5	222166.225	68893.4726	0	0	0	581347	0	0	3
14	8	0	0.20574634	213730.61	182735.232	111457.5	222166.225	71277.7324	0	0	0	581725	0	0	3
15	8	0	0.220442507	213459.731	184783.532	111457.5	222166.225	73326.0323	0	0	0	582310	0	0	3
16	8	0	0.235138675	212483.634	186514.789	111457.5	222166.225	75057.2887	0	0	0	583404	0	0	3
17	9	0	0.249834842	212581.417	188048.12	111457.5	222166.225	76590.6198	0	0	0	583938	0	0	3
18	9	0	0.264531009	212821.251	189424.405	111457.5	222166.225	77966.9049	0	0	0	584857	0	0	3
19	9	0	0.279227176	213810.835	190707.901	111457.5	222166.225	79250.4012	0	0	0	585265	0	0	3
20	9	0	0.293923343	215008.975	191922.955	111457.5	222166.225	80465.4549	0	0	0	585596	0	0	3
21	9	0	0.30861951	217993.108	193164.391	111457.5	222166.225	81706.8908	0	0	0	585797	0	0	3
22	10	0	0.323315678	220285.498	194397.168	111457.5	222166.225	82939.6684	0	0	0	586060	0	0	3
23	10	0	0.338011845	222660.028	195625.988	111457.5	222660.028	84168.4884	0	0	0	586317	0	0	3
24	10	0	0.352708012	225179.34	196857.378	111457.5	225179.34	85399.878	0	0	0	586466	0	0	3
25	10	0	0.367404179	228497.621	198122.988	111457.5	228497.621	86665.4877	0	0	0	586297	0	0	3
26	10	0	0.382100346	232952.567	199462.587	111457.5	232952.567	88005.087	0	0	0	586038	0	0	3
27	10	0	0.396796513	236783.308	200844.836	111457.5	236783.308	89387.3359	0	0	0	586074	0	0	3
28	11	0	0.411492681	239748.893	202234.267	111457.5	239748.893	90776.7665	0	0	0	586346	0	0	3
29	11	0	0.426188848	241755.345	203597.062	111457.5	241755.345	92139.5623	0	0	0	587367	0	0	3
30	11	0	0.440885015	242883.753	204906.619	111457.5	242883.753	93449.1187	0	0	0	589135	0	0	3
31	11	0	0.455581182	244196.695	206174.04	111457.5	244196.695	94716.5405	0	0	0	590660	0	0	3
32	11	0	0.470277349	245127.675	207391.342	111457.5	245127.675	95933.8416	0	0	0	591941	0	0	3
33	11	0	0.484973516	245535.902	208547.237	111457.5	245535.902	97089.7373	0	0	0	593082	0	0	3
34	12	0	0.499669684	246034.067	209649.791	111457.5	246034.067	98192.2912	0	0	0	594103	0	0	3
35	12	0	0.514365851	246362.652	210698.73	111457.5	246362.652	99241.23	0	0	0	595018	0	0	3
36	12	0	0.529062018	246378.16	214553.606	122603.25	246378.16	97523.231	0	0	0	595777	0	0	3
37	12	0	0.543758185	246275.306	218087.093	134863.575	246378.16	95112.3184	0	0	0	596336	0	0	3
38	12	0	0.558454352	245880.168	221258.996	148349.933	246378.16	91940.4316	0	0	0	596753	0	0	3
39	12	0	0.573150519	245594.259	224037.405	163184.926	246378.16	83193.2341	0	0	0	597025	0	0	3
