Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0146961672	111457.5	111457.5	111457.5	111457.5	0	0	0	0	666369	0	0	3
2	5	0	0.0293923343	121479.463	116468.481	111457.5	121479.463	5010.9814	0	0	0	671942	0	0	3
3	6	0	0.0440885015	132115.664	121684.209	111457.5	132115.664	10226.7088	0	0	0	677235	0	0	3
4	6	0	0.0587846687	143961.073	127253.425	111457.5	143961.073	15795.9249	0	0	0	682263	0	0	3
5	6	0	0.0734808358	158320.715	133466.883	111457.5	158320.715	22009.3829	0	0	0	672709	0	0	3
6	7	0	0.088177003	174152.786	140247.867	111457.5	174152.786	28790.3668	0	0	0	662197	0	0	3
7	7	0	0.10287317	191568.065	147579.324	111457.5	191568.065	36121.8237	0	0	0	650634	0	0	3
8	7	0	0.117569337	197214.012	153783.66	111457.5	197214.012	42326.1597	0	0	0	637915	0	0	3
9	7	0	0.132265504	198973.929	158804.801	111457.5	198973.929	47347.3007	0	0	0	623925	0	0	3
10	7	0	0.146961672	201259.27	163050.248	111457.5	201259.27	51592.7476	0	0	0	608534	0	0	3
11	8	0	0.161657839	203056.954	166687.221	111457.5	203056.954	55229.7209	0	0	0	591605	0	0	3
12	8	0	0.176354006	204249.165	169817.383	111457.5	204249.165	58359.8829	0	0	0	582225	0	0	3
13	8	0	0.191050173	204081.413	172453.078	111457.5	204249.165	60995.5775	0	0	0	581347	0	0	3
14	8	0	0.20574634	204306.116	174728.295	111457.5	204306.116	63270.7946	0	0	0	581725	0	0	3
15	8	0	0.220442507	204810.713	176733.789	111457.5	204810.713	65276.2891	0	0	0	582310	0	0	3
16	8	0	0.235138675	204924.523	178495.71	111457.5	204924.523	67038.21	0	0	0	583404	0	0	3
17	9	0	0.249834842	205228.359	180068.219	111457.5	205228.359	68610.7187	0	0	0	583938	0	0	3
