Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0146961672	289.464364	289.464364	289.464364	289.464364	0	0	0	0	51.2691	0	0	3
2	5	0	0.0293923343	290.332704	289.898534	289.464364	290.332704	0.434169775	0	0	0	22.8077	0	0	3
3	6	0	0.0440885015	290.860135	290.219068	289.464364	290.860135	0.754703621	0	0	0	23.7092	0	0	3
4	6	0	0.0587846687	291.265174	290.480594	289.464364	291.265174	1.01623015	0	0	0	21.5716	0	0	3
5	6	0	0.0734808358	291.705667	290.725609	289.464364	291.705667	1.26124475	0	0	0	16.883	0	0	3
6	7	0	0.088177003	291.750675	290.896453	289.464364	291.750675	1.43208905	0	0	0	13.5626	0	0	3
7	7	0	0.10287317	291.879842	291.036937	289.464364	291.879842	1.57257318	0	0	0	12.242	0	0	3
8	7	0	0.117569337	292.145483	291.175505	289.464364	292.145483	1.7111414	0	0	0	9.17947	0	0	3
9	7	0	0.132265504	292.281697	291.298416	289.464364	292.281697	1.83405155	0	0	0	7.0299	0	0	3
10	7	0	0.146961672	292.279072	291.396481	289.464364	292.281697	1.9321172	0	0	0	18.7759	0	0	3
11	8	0	0.161657839	292.101046	291.460533	289.464364	292.281697	1.99616856	0	0	0	30.9681	0	0	3
12	8	0	0.176354006	291.891699	291.496463	289.464364	292.281697	2.03209912	0	0	0	14.7353	0	0	3
13	8	0	0.191050173	291.686779	291.511103	289.464364	292.281697	2.04673878	0	0	0	15.458	0	0	3
14	8	0	0.20574634	291.491619	291.509711	289.464364	292.281697	2.04673878	0	0	0	17.1026	0	0	3
15	8	0	0.220442507	291.289016	291.494998	289.464364	292.281697	2.04673878	0	0	0	19.7934	0	0	3
16	8	0	0.235138675	290.9828	291.462986	289.464364	292.281697	2.04673878	0	0	0	23.6161	0	0	3
17	9	0	0.249834842	290.647296	291.415004	289.464364	292.281697	2.04673878	0	0	0	27.0301	0	0	3
18	9	0	0.264531009	290.299659	291.35304	289.464364	292.281697	2.04673878	0	0	0	30.295	0	0	3
19	9	0	0.279227176	289.936329	291.278477	289.464364	292.281697	2.04673878	0	0	0	33.4981	0	0	3
20	9	0	0.293923343	289.555992	291.192352	289.464364	292.281697	2.04673878	0	0	0	36.6686	0	0	3
21	9	0	0.30861951	288.98067	291.087034	288.98067	292.281697	2.04673878	0	0	0	41.7213	0	0	3
22	10	0	0.323315678	288.393233	290.964589	288.393233	292.281697	2.04673878	0	0	0	46.8954	0	0	3
23	10	0	0.338011845	287.82144	290.82793	287.82144	292.281697	2.04673878	0	0	0	51.6717	0	0	3
24	10	0	0.352708012	287.311416	290.681409	287.311416	292.281697	2.04673878	0	0	0	55.5517	0	0	3
25	10	0	0.367404179	286.887366	290.529647	286.887366	292.281697	2.04673878	0	0	0	58.3258	0	0	3
26	10	0	0.382100346	286.426476	290.371833	286.426476	292.281697	2.04673878	0	0	0	61.164	0	0	3
27	10	0	0.396796513	286.035347	290.211222	286.035347	292.281697	2.04673878	0	0	0	64.2361	0	0	3
28	11	0	0.411492681	285.673904	290.049175	285.673904	292.281697	2.04673878	0	0	0	67.089	0	0	3
29	11	0	0.426188848	285.331512	289.886497	285.331512	292.281697	2.04673878	0	0	0	69.7776	0	0	3
30	11	0	0.440885015	285.02865	289.724569	285.02865	292.281697	2.04673878	0	0	0	72.1336	0	0	3
31	11	0	0.455581182	284.751276	289.56414	284.751276	292.281697	2.04673878	0	0	0	73.9461	0	0	3
32	11	0	0.470277349	284.551165	289.407484	284.551165	292.281697	2.10361835	0	0	0	75.4	0	0	3
33	11	0	0.484973516	284.40817	289.25599	284.40817	292.281697	2.25511272	0	0	0	76.5771	0	0	3
34	12	0	0.499669684	284.30295	289.110312	284.30295	292.281697	2.40079035	0	0	0	77.7493	0	0	3
35	12	0	0.514365851	284.223908	288.970701	284.223908	292.281697	2.54040192	0	0	0	78.7687	0	0	3
36	12	0	0.529062018	284.195052	288.820149	284.195052	292.281697	2.69095368	0	0	0	79.5465	0	0	3
37	12	0	0.543758185	284.18247	288.644428	284.18247	292.281697	2.86667463	0	0	0	80.1894	0	0	3
38	12	0	0.558454352	284.156227	288.452888	284.156227	292.281697	3.05821486	0	0	0	80.724	0	0	3
39	12	0	0.573150519	284.11693	288.248652	284.11693	292.281697	3.26245041	0	0	0	81.1394	0	0	3
40	13	0	0.587846687	284.085495	288.030933	284.085495	292.281697	3.4801696	0	0	0	81.5203	0	0	3
41	13	0	0.602542854	284.075313	287.811637	284.075313	292.281697	3.69946566	0	0	0	81.798	0	0	3
42	13	0	0.617239021	284.085421	287.588939	284.075313	292.281697	3.92216341	0	0	0	82.0098	0	0	3
43	13	0	0.631935188	284.089863	287.358779	284.075313	292.281697	4.15232399	0	0	0	82.1585	0	0	3
44	13	0	0.646631355	284.09121	287.124765	284.075313	292.279072	4.3863379	0	0	0	82.2895	0	0	3
45	13	0	0.661327522	284.090024	286.890792	284.075313	292.101046	4.62031071	0	0	0	82.376	0	0	3
46	14	0	0.67602369	284.074268	286.661456	284.074268	291.891699	4.84964723	0	0	0	82.4086	0	0	3
47	14	0	0.690719857	284.069102	286.437953	284.069102	291.686779	5.07315002	0	0	0	82.4237	0	0	3
48	14	0	0.705416024	284.082735	286.220694	284.069102	291.491619	5.28901674	0	0	0	82.4463	0	0	3
49	14	0	0.720112191	284.096129	286.009395	284.069102	291.289016	5.48560346	0	0	0	82.4317	0	0	3
50	14	0	0.734808358	284.099352	285.803976	284.069102	290.9828	5.65901005	0	0	0	82.441	0	0	3
51	14	0	0.749504525	284.079961	285.606752	284.069102	290.647296	5.80825228	0	0	0	82.4564	0	0	3
52	15	0	0.764200692	284.05984	285.418539	284.05984	290.299659	5.93450172	0	0	0	82.4435	0	0	3
53	15	0	0.77889686	284.04496	285.239833	284.04496	289.936329	5.8913692	0	0	0	82.4241	0	0	3
54	15	0	0.793593027	284.047059	285.071568	284.04496	289.555992	5.51103193	0	0	0	82.4043	0	0	3
55	15	0	0.808289194	284.050337	284.914264	284.04496	288.98067	4.93570995	0	0	0	82.3972	0	0	3
56	15	0	0.822985361	284.044056	284.773218	284.044056	288.393233	4.34917702	0	0	0	82.4119	0	0	3
57	15	0	0.837681528	284.037535	284.648769	284.037535	287.82144	3.78390555	0	0	0	82.4429	0	0	3
58	16	0	0.852377695	284.027757	284.540378	284.027757	287.311416	3.28365939	0	0	0	83.0788	0	0	3
59	16	0	0.867073863	284.012842	284.446133	284.012842	286.887366	2.87452379	0	0	0	83.7919	0	0	3
60	16	0	0.88177003	284.003593	284.36374	284.003593	286.426476	2.42288227	0	0	0	84.475	0	0	3
61	16	0	0.896466197	283.997762	284.294348	283.997762	286.035347	2.03758489	0	0	0	85.2192	0	0	3
62	16	0	0.911162364	283.992883	284.235992	283.992883	285.673904	1.6810211	0	0	0	86.075	0	0	3
63	16	0	0.925858531	283.986525	284.187781	283.986525	285.331512	1.34498694	0	0	0	86.8541	0	0	3
64	17	0	0.940554698	283.975143	284.149028	283.975143	285.02865	1.05350693	0	0	0	87.5652	0	0	3
65	17	0	0.955250866	283.96315	284.118585	283.96315	284.751276	0.788126427	0	0	0	88.2242	0	0	3
66	17	0	0.969947033	283.952097	284.095751	283.952097	284.551165	0.599067954	0	0	0	88.843	0	0	3
67	17	0	0.9846432	283.945234	284.078439	283.945234	284.40817	0.462936353	0	0	0	89.4402	0	0	3
68	17	0	0.999339367	283.942753	284.065141	283.942753	284.30295	0.36019774	0	0	0	90.0305	0	0	3
69	17	0	1.01403553	283.935547	284.054644	283.935547	284.223908	0.288360708	0.250384493	0	0	90.6176	0	0	3
70	18	0	1.0287317	283.925745	284.046125	283.925745	284.195052	0.269307366	0.250678559	0	0	91.2983	0	0	3
71	18	0	1.04342787	283.912704	284.038058	283.912704	284.18247	0.269766689	0.250874175	0	0	91.9753	0	0	3
72	18	0	1.05812404	283.897464	284.029915	283.897464	284.156227	0.258763594	0.25109178	0	0	92.6341	0	0	3
73	18	0	1.0728202	283.878604	284.021983	283.878604	284.11693	0.238325487	0.25134203	0	0	93.2878	0	0	3
74	19	0	1.08751637	283.864986	284.014784	283.864986	284.099352	0.234365197	0.251573886	0	0	93.9378	0	0	3
75	19	0	1.10221254	283.854896	284.008196	283.854896	284.099352	0.24445603	0.251778911	0	0	94.5663	0	0	3
76	19	0	1.1169087	283.844814	284.00161	283.844814	284.099352	0.254538074	0.251968566	0	0	95.174	0	0	3
77	19	0	1.13160487	283.835728	283.994476	283.835728	284.099352	0.263623813	0.252144879	0	0	95.7527	0	0	3
78	19	0	1.14630104	283.836093	283.987225	283.835728	284.099352	0.263623813	0.252273263	0	0	96.3096	0	0	3
79	20	0	1.16099721	283.835531	283.97992	283.835531	284.099352	0.263821075	0.251842483	0	0	96.8411	0	0	3
80	20	0	1.17569337	283.832851	283.972572	283.832851	284.099352	0.266500786	0.25092639	0	0	97.4013	0	0	3
81	20	0	1.19038954	283.830005	283.965593	283.830005	284.099352	0.26934633	0.250384493	0	0	98.0422	0	0	3
82	20	0	1.20508571	283.826068	283.95865	283.826068	284.099352	0.273283882	0.250384493	0	0	98.6457	0	0	3
83	20	0	1.21978187	283.820853	283.951167	283.820853	284.099352	0.278498328	0.250384493	0	0	99.208	0	0	3
84	21	0	1.23447804	283.816065	283.943165	283.816065	284.099352	0.283286934	0.250384493	0	0	99.7285	0	0	3
85	21	0	1.24917421	283.805782	283.934778	283.805782	284.079961	0.274178629	0.250384493	0	0	100.216	0	0	3
86	21	0	1.26387038	283.801585	283.926824	283.801585	284.05984	0.258254499	0.250384493	0	0	100.678	0	0	3
87	21	0	1.27856654	283.804399	283.919526	283.801585	284.050337	0.248751906	0.250384493	0	0	101.113	0	0	3
88	22	0	1.29326271	283.807492	283.912741	283.801585	284.050337	0.248751906	0.250384493	0	0	101.534	0	0	3
89	22	0	1.30795888	283.805504	283.905839	283.801585	284.050337	0.248751906	0.250384493	0	0	101.941	0	0	3
90	22	0	1.32265504	283.798992	283.898658	283.798992	284.044056	0.245064633	0.250384493	0	0	102.341	0	0	3
91	22	0	1.33735121	283.790293	283.891408	283.790293	284.037535	0.247241741	0.250384493	0	0	102.732	0	0	3
92	22	0	1.35204738	283.781229	283.884085	283.781229	284.027757	0.246528376	0.250384493	0	0	103.164	0	0	3
93	23	0	1.36674355	283.772788	283.8768	283.772788	284.012842	0.240053451	0.250384493	0	0	103.58	0	0	3
94	23	0	1.38143971	283.764512	283.869705	283.764512	284.003593	0.239081408	0.250384493	0	0	104.022	0	0	3
95	23	0	1.39613588	283.755989	283.86263	283.755989	283.997762	0.24177369	0.250384493	0	0	104.481	0	0	3
96	23	0	1.41083205	283.747204	283.855472	283.747204	283.992883	0.245678528	0.250384493	0	0	104.924	0	0	3
97	24	0	1.42552821	283.738231	283.848196	283.738231	283.986525	0.24829472	0.250384493	0	0	105.337	0	0	3
98	24	0	1.44022438	283.728579	283.840826	283.728579	283.975143	0.246564003	0.250384493	0	0	105.721	0	0	3
99	24	0	1.45492055	283.718863	283.833504	283.718863	283.96315	0.244287173	0.250384493	0	0	106.087	0	0	3
100	24	0	1.46961672	283.707751	283.826207	283.707751	283.952097	0.244345613	0.250384493	0	0	106.442	0	0	3
101	24	0	1.48431288	283.696893	283.818915	283.696893	283.945234	0.248340834	0.250384493	0	0	106.791	0	0	3
102	25	0	1.49900905	283.686605	283.811526	283.686605	283.942753	0.253615383	0.250384493	0	0	107.14	0	0	3
103	25	0	1.51370522	283.677346	283.803943	283.677346	283.935547	0.250701194	0.250384493	0	0	107.487	0	0	3
104	25	0	1.52840138	283.669408	283.796339	283.669408	283.925745	0.249786221	0.250384493	0	0	107.823	0	0	3
105	25	0	1.54309755	283.662815	283.788826	283.662815	283.912704	0.249231389	0.250384493	0	0	108.147	0	0	3
106	26	0	1.55779372	283.658449	283.781562	283.658449	283.897464	0.239014315	0.250384493	0	0	108.461	0	0	3
